X,Y,crime_id,report_number,address,offense_description,offense_category,state_offense_code,arrest_charge,charge_description,incident_timestamp,incident_time,day_of_week,hour_of_day,year,scout_car_area,precinct,block_id,neighborhood,council_district,zip_code,longitude,latitude,ibr_date,oid
-83.19247724,42.35350543,3557563,2010150242,Coyle St & Belton St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/15 06:00:00+00,0.083333333,4,2,2020,207,2,2.61635E+14,Fiskhorn,7,48228,-83.19247724,42.35350543,2020/10/16 12:39:00+00,528806
-83.09343638,42.32874979,3557588,2010150266,W Grand Blvd & Risdon St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/15 18:00:00+00,0.583333333,4,14,2020,410,4,2.61635E+14,Central Southwest,6,48216,-83.09343638,42.32874979,2020/10/16 12:39:00+00,528813
-82.95214571,42.42700774,3557772,2010160046,Whitehill St & Morang Dr,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/15 04:30:00+00,0.020833333,4,0,2020,907,9,2.61635E+14,Denby,4,48224,-82.95214571,42.42700774,2020/10/19 17:06:26+00,528842
-83.19823297,42.388694,3558330,2010170257,Birch St & Greenfield Rd,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/18 01:20:00+00,0.888888889,6,21,2020,814,8,2.61635E+14,Greenfield-Grand River,1,48227,-83.19823297,42.388694,2020/10/19 17:06:26+00,528908
-83.22397577,42.36735448,3558399,2010170320,Orangelawn St & Brace St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/17 04:00:00+00,0,6,0,2020,607,6,2.61635E+14,Franklin Park,7,48228,-83.22397577,42.36735448,2020/12/02 14:26:39+00,528917
-83.03117363,42.34084042,3558530,2010180112,Saint Aubin St & Pembridge Pl,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/18 07:00:00+00,0.125,7,3,2020,709,7,2.61635E+14,Lafayette Park,5,48207,-83.03117363,42.34084042,2020/10/19 17:06:26+00,528932
-83.22878753,42.3648498,3558604,2010180185,W Chicago St & Piedmont St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/18 06:00:00+00,0.083333333,7,2,2020,607,6,2.61635E+14,Franklin Park,7,48228,-83.22878752,42.3648498,2020/10/19 17:06:26+00,528947
-82.96584584,42.44451816,3558846,2010190082,Hayes St & Fairmount Dr,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/19 06:00:00+00,0.083333333,1,2,2020,903,9,2.61635E+14,Regent Park,3,48205,-82.96584584,42.44451816,2020/10/30 12:19:23+00,528984
-83.05119525,42.33367765,3559068,2010190318,Washington Blvd & Grand River Ave,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/18 23:00:00+00,0.791666667,7,19,2020,311,3,2.61635E+14,Downtown,6,48226,-83.05119525,42.33367765,2020/10/30 12:19:23+00,529010
-82.93647797,42.36056501,3559195,2010200041,Scripps St & Chalmers St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/20 07:00:00+00,0.125,2,3,2020,512,5,2.61635E+14,Jefferson Chalmers,4,48215,-82.93647797,42.36056501,2020/10/30 12:19:23+00,529023
-82.94046213,42.42223057,3559372,2010200230,Morang Dr & Cadieux Rd,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/09 07:40:00+00,0.152777778,5,3,2020,907,9,2.61635E+14,Yorkshire Woods,4,48224,-82.94046213,42.42223056,2020/10/30 12:19:23+00,529060
-82.94204239,42.42189427,3559377,2010200236,McKinney Ave & Meuse St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/12 01:00:00+00,0.875,7,21,2020,907,9,2.61635E+14,Yorkshire Woods,4,48224,-82.94204239,42.42189427,2020/10/30 12:19:23+00,529062
-83.25430317,42.39777101,3559504,2010200305,Burgess St & W Outer Dr,MOTOR VEHICLE THEFT,DAMAGE TO PROPERTY,2900,29000,DAMAGE TO PROPERTY,2020/10/21 01:22:00+00,0.890277778,2,21,2020,602,6,2.61635E+14,Brightmoor,1,48223,-83.25430317,42.39777101,2020/10/30 14:29:14+00,529066
-83.25430317,42.39777101,3559504,2010200305,Burgess St & W Outer Dr,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/21 01:22:00+00,0.890277778,2,21,2020,602,6,2.61635E+14,Brightmoor,1,48223,-83.25430317,42.39777101,2020/10/30 14:29:14+00,529074
-83.00523624,42.34988762,3559601,2010210072,Helen St & E Lafayette St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/21 03:25:00+00,0.975694444,2,23,2020,710,7,2.61635E+14,Islandview,5,48207,-83.00523624,42.34988762,2020/10/30 14:29:14+00,529097
-83.24256026,42.34670347,3559669,2010210150,Braile St & Sawyer St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/21 06:00:00+00,0.083333333,3,2,2020,609,6,2.61635E+14,Warrendale,7,48228,-83.24256026,42.34670347,2020/10/30 14:29:14+00,529110
-83.2242099,42.33966474,3559777,2010210264,Stahelin Ave & Whitlock St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/21 08:00:00+00,0.166666667,3,4,2020,612,6,2.61635E+14,Warrendale,7,48228,-83.2242099,42.33966474,2020/10/30 14:29:14+00,529125
-83.09343638,42.32874979,3559866,2010210347,W Grand Blvd & Risdon St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/18 19:00:00+00,0.625,7,15,2020,410,4,2.61635E+14,Central Southwest,6,48216,-83.09343638,42.32874979,2020/10/30 14:29:14+00,529137
-83.19792452,42.41115748,3559928,2010220001,Florence St & Prest St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/22 01:00:00+00,0.875,3,21,2020,201,2,2.61635E+14,Hubbell-Puritan,1,48235,-83.19792452,42.41115748,2020/10/30 14:29:14+00,529147
-83.08936016,42.31822766,3560089,2010220161,Hubbard St & Porter St,MOTOR VEHICLE THEFT,STOLEN VEHICLE,2401,24001,MOTOR VEHICLE THEFT,2020/10/20 23:00:00+00,0.791666667,2,19,2020,410,4,2.61635E+14,Hubbard Farms,6,48209,-83.08936016,42.31822766,2020/10/30 14:29:14+00,529165
